dep,title,gen,tenure,setting,nps.cat,variable,value
Communications and Marketing,Manager/Regional Manager,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Promoter,design,Good
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,1-2 years,Open workstation with low or no panels,Passive,design,Fair
IT,Manager/Regional Manager,Born 1965-1980,16 years or more,A shared office or work room,Detractor,design,Good
Management/Leadership,Analyst/Sr Analyst,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Passive,design,Good
Capital Markets/Debt and Structured Finance,VP,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,design,Fair
Occupier A&amp;T Services,SVP,Born 1965-1980,6-10 years,A private office,Promoter,design,Good
Client Services,Administrative,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Detractor,design,Fair
Communications and Marketing,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,design,Fair
Capital Markets/Debt and Structured Finance,FVP,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,design,Good
Occupier A&amp;T Services,SVP,Born before 1964,16 years or more,A private office,Promoter,design,Excellent
Capital Markets/Investment Properties,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,design,Fair
Occupier A&amp;T Services,EVP,Born before 1964,16 years or more,A private office,Promoter,design,Fair
Management/Leadership,Manager/Regional Manager,Born 1981-1990,6-10 years,A shared office or work room,Detractor,design,Poor
Asset Services,Managing Director/Sr Managing Director,Born 1965-1980,11-15 years,A private office,Promoter,design,Good
Global Workplace Solutions (GWS),Director,Born 1981-1990,6-10 years,A private office,Promoter,design,Good
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,design,Good
Business Services/Office Services,Administrative,Born 1965-1980,3-5 years,A shared office or work room,Promoter,design,Excellent
Agency/Landlord Brokerage,SVP,Born 1981-1990,11-15 years,A private office,Detractor,design,Fair
Communications and Marketing,Manager/Regional Manager,Born 1965-1980,3-5 years,Open workstation with low or no panels,Detractor,design,Poor
Global Workplace Solutions (GWS),Associate/ Sr Associate,Born 1965-1980,3-5 years,I am not assigned to an individual workspace,Passive,design,Good
Global Workplace Solutions (GWS),Manager/Regional Manager,Born 1981-1990,3-5 years,I am not assigned to an individual workspace,Promoter,design,Fair
Agency/Landlord Brokerage,SVP,Born 1965-1980,Less than 1 year,A private office,Detractor,design,Fair
Transaction Management,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,design,Good
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,design,Fair
"Specialty Services Brokerage (Land, Hotels, Healthcare)",SVP,Born 1965-1980,6-10 years,A private office,Promoter,design,Good
Research,Analyst/Sr Analyst,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,design,Good
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,design,Fair
Business Services/Office Services,Associate/ Sr Associate,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Promoter,design,Excellent
Asset Services,Manager/Regional Manager,Born before 1964,16 years or more,Open workstation with low or no panels,Detractor,design,Fair
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,design,Fair
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,design,Fair
Agency/Landlord Brokerage,VP,Born 1965-1980,16 years or more,Open workstation with low or no panels,Detractor,design,Fair
Global Workplace Solutions (GWS),SVP,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Detractor,design,Excellent
Capital Markets/Investment Properties,SVP,Born 1981-1990,11-15 years,A private office,Detractor,design,Poor
Corporate Services,Analyst/Sr Analyst,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,design,Good
Asset Services,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,design,Fair
"Specialty Services Brokerage (Land, Hotels, Healthcare)",VP,Born 1965-1980,6-10 years,Open workstation with low or no panels,Passive,design,Poor
Occupier A&amp;T Services,SVP,Born before 1964,11-15 years,A private office,Passive,design,Excellent
Client Services,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,design,Fair
"Specialty Services Brokerage (Land, Hotels, Healthcare)",Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,design,Good
Client Services,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,design,Poor
Client Services,Administrative,Born 1981-1990,3-5 years,Open workstation with low or no panels,Promoter,design,Excellent
Business Services/Office Services,Manager/Regional Manager,Born 1981-1990,3-5 years,A shared office or work room,Detractor,design,Good
Global Workplace Solutions (GWS),Director,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Passive,design,Good
Agency/Landlord Brokerage,VP,Born 1965-1980,16 years or more,A private office,Passive,design,Fair
Capital Markets/Investment Properties,VP,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Promoter,design,Fair
Communications and Marketing,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,design,Fair
Business Services/Office Services,Administrative,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,design,Poor
Global Workplace Solutions (GWS),Analyst/Sr Analyst,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,design,Good
Project Management,Director,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Passive,design,Good
Project Management,Associate/ Sr Associate,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,design,Poor
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Promoter,design,Good
Capital Markets/Debt and Structured Finance,Vice Chairman,Born before 1964,3-5 years,A private office,Promoter,design,Fair
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,1-2 years,Open workstation with low or no panels,Detractor,design,Good
Communications and Marketing,Manager/Regional Manager,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,design,Good
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1991 or after,1-2 years,Open workstation with low or no panels,Passive,design,Good
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,design,Good
Agency/Landlord Brokerage,EVP,Born 1965-1980,11-15 years,A private office,Detractor,design,Excellent
Occupier A&amp;T Services,EVP,Born before 1964,6-10 years,A private office,Detractor,design,Fair
Research,Director,Born 1981-1990,1-2 years,A private office,Detractor,design,Fair
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,1-2 years,Open workstation with low or no panels,Detractor,design,Poor
Research,Analyst/Sr Analyst,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,design,Good
Retail Brokerage,Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,design,Good
Agency/Landlord Brokerage,SVP,Born 1965-1980,3-5 years,A private office,Detractor,design,Fair
Asset Services,Director,Born before 1964,3-5 years,A private office,Promoter,design,Fair
Occupier A&amp;T Services,VP,Born 1981-1990,6-10 years,Open workstation with low or no panels,Detractor,design,Poor
Capital Markets/Investment Properties,Associate/ Sr Associate,Born 1991 or after,1-2 years,Open workstation with low or no panels,Passive,design,Good
Asset Services,Manager/Regional Manager,Born before 1964,11-15 years,Open workstation with low or no panels,Passive,design,Good
Project Management,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,design,Good
Asset Services,Supervisor,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,design,Good
Occupier A&amp;T Services,SVP,Born before 1964,1-2 years,A private office,Detractor,design,Poor
Business Services/Office Services,Administrative,Born 1991 or after,3-5 years,Open workstation with low or no panels,Detractor,design,Good
Research,Director,Born 1981-1990,11-15 years,Open workstation with low or no panels,Detractor,design,Fair
Research,Analyst/Sr Analyst,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,design,Fair
Project Management,Manager/Regional Manager,Born 1981-1990,6-10 years,Open workstation with low or no panels,Promoter,design,Good
Occupier A&amp;T Services,Administrative,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Passive,design,Fair
Occupier A&amp;T Services,Managing Director/Sr Managing Director,Born before 1964,1-2 years,A private office,Passive,design,Fair
Occupier A&amp;T Services,VP,Born 1965-1980,6-10 years,Open workstation with low or no panels,Detractor,design,Fair
Client Services,Administrative,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Passive,design,Good
Occupier A&amp;T Services,Supervisor,Born 1981-1990,11-15 years,Open workstation with low or no panels,Promoter,design,Fair
Capital Markets/Investment Properties,SVP,Born before 1964,11-15 years,Open workstation with low or no panels,Passive,design,Excellent
Occupier A&amp;T Services,FVP,Born 1981-1990,11-15 years,A private office,Detractor,design,Good
Occupier A&amp;T Services,Director,Born 1981-1990,6-10 years,Open workstation with low or no panels,Detractor,design,Fair
Transaction Management,Vice Chairman,Born before 1964,11-15 years,A private office,Passive,design,Good
Capital Markets/Investment Properties,SVP,Born before 1964,16 years or more,A private office,Detractor,design,Good
Occupier A&amp;T Services,SVP,Born before 1964,1-2 years,A private office,Detractor,design,Fair
Project Management,Associate/ Sr Associate,Born 1991 or after,1-2 years,Open workstation with low or no panels,Passive,design,Excellent
Asset Services,Director,Born 1965-1980,11-15 years,A private office,Passive,design,Good
Capital Markets/Investment Properties,Analyst/Sr Analyst,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,design,Good
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,design,Fair
"Specialty Services Brokerage (Land, Hotels, Healthcare)",Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,design,Good
Capital Markets/Investment Properties,EVP,Born before 1964,16 years or more,A private office,Detractor,design,Good
Communications and Marketing,Manager/Regional Manager,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Detractor,design,Poor
Client Services,Administrative,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Detractor,design,Good
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,design,Good
Financial Consulting Group,Manager/Regional Manager,Born 1965-1980,3-5 years,A private office,Passive,design,Good
Project Management,Managing Director/Sr Managing Director,Born before 1964,3-5 years,A private office,Detractor,design,Good
Occupier A&amp;T Services,SVP,Born 1965-1980,11-15 years,A private office,Detractor,amenities,Poor
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Detractor,amenities,Fair
Agency/Landlord Brokerage,SVP,Born 1965-1980,11-15 years,A private office,Promoter,amenities,Good
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,3-5 years,Open workstation with low or no panels,Detractor,amenities,Good
