"dep","title","gen","tenure","setting","nps.cat","id","variable","value"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1981-1990","6-10 years","Open workstation with low or no panels","Passive",59,"others","40"
"Agency/Landlord Brokerage","VP","Born 1965-1980","16 years or more","Open workstation with low or no panels","Detractor",60,"others","40"
"Global Workplace Solutions (GWS)","SVP","Born 1965-1980","Less than 1 year","Open workstation with low or no panels","Detractor",61,"others","40"
"Capital Markets/Investment Properties","SVP","Born 1981-1990","11-15 years","A private office","Detractor",62,"others","40"
"Corporate Services","Analyst/Sr Analyst","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",63,"others","10"
"Asset Services","Administrative","Born 1981-1990","1-2 years","Open workstation with low or no panels","Detractor",64,"others","25"
"Specialty Services Brokerage (Land, Hotels, Healthcare)","VP","Born 1965-1980","6-10 years","Open workstation with low or no panels","Passive",65,"others","20"
"Occupier A&amp;T Services","SVP","Born before 1964","11-15 years","A private office","Passive",66,"others","30"
"Client Services","Administrative","Born 1981-1990","1-2 years","Open workstation with low or no panels","Detractor",67,"others","60"
"Specialty Services Brokerage (Land, Hotels, Healthcare)","Associate/ Sr Associate","Born 1981-1990","6-10 years","Open workstation with low or no panels","Passive",68,"others","35"
"Client Services","Administrative","Born 1981-1990","1-2 years","Open workstation with low or no panels","Detractor",69,"others","40"
"Client Services","Administrative","Born 1981-1990","3-5 years","Open workstation with low or no panels","Promoter",70,"others","10"
"Business Services/Office Services","Manager/Regional Manager","Born 1981-1990","3-5 years","A shared office or work room","Detractor",71,"others","20"
"Global Workplace Solutions (GWS)","Director","Born 1965-1980","Less than 1 year","Open workstation with low or no panels","Passive",72,"others","30"
"Agency/Landlord Brokerage","VP","Born 1965-1980","16 years or more","A private office","Passive",73,"others","30"
"Capital Markets/Investment Properties","VP","Born 1965-1980","Less than 1 year","Open workstation with low or no panels","Promoter",74,"others","10"
"Communications and Marketing","Administrative","Born 1981-1990","1-2 years","Open workstation with low or no panels","Detractor",75,"others","25"
"Business Services/Office Services","Administrative","Born 1981-1990","3-5 years","Open workstation with low or no panels","Detractor",76,"others","30"
